reference_id,frame_index,timestamp_seconds,image_path,telemetry_block_index,drone_lat,drone_lon,rel_alt_m,abs_alt_m,manual_height_above_takeoff_m,manual_camera_angle_deg,local_x_m,local_y_m,feature_type,feature_path,feature_status
227bcd27-f04f-4986-bd94-5794dda26bcc,0,0.0,frames/frame_000000.jpg,1,32.102482,35.209687,49.8,759.842,50.0,45.0,0.0,0.0,orb,features/frame_000000_orb.npz,extracted
227bcd27-f04f-4986-bd94-5794dda26bcc,30,1.0,frames/frame_000030.jpg,30,32.102483,35.209686,49.8,759.842,50.0,45.0,-0.09419320406971361,0.11119504853686586,orb,features/frame_000030_orb.npz,extracted
227bcd27-f04f-4986-bd94-5794dda26bcc,60,2.0,frames/frame_000060.jpg,60,32.102483,35.209687,49.8,759.842,50.0,45.0,0.0,0.11119504853686586,orb,features/frame_000060_orb.npz,extracted
227bcd27-f04f-4986-bd94-5794dda26bcc,90,3.0,frames/frame_000090.jpg,90,32.102483,35.209689,49.8,759.842,50.0,45.0,0.18838640680086127,0.11119504853686586,orb,features/frame_000090_orb.npz,extracted
227bcd27-f04f-4986-bd94-5794dda26bcc,120,4.0,frames/frame_000120.jpg,120,32.102483,35.20969,49.8,759.842,50.0,45.0,0.28257961087057487,0.11119504853686586,orb,features/frame_000120_orb.npz,extracted
227bcd27-f04f-4986-bd94-5794dda26bcc,150,5.0,frames/frame_000150.jpg,150,32.102487,35.209687,49.8,759.842,50.0,45.0,0.0,0.5559752442645061,orb,features/frame_000150_orb.npz,extracted
227bcd27-f04f-4986-bd94-5794dda26bcc,180,6.0,frames/frame_000180.jpg,180,32.102515,35.209666,49.8,759.842,50.0,45.0,-1.978057276763307,3.669436610407545,orb,features/frame_000180_orb.npz,extracted
227bcd27-f04f-4986-bd94-5794dda26bcc,210,7.0,frames/frame_000210.jpg,210,32.102563,35.209632,49.8,759.842,50.0,45.0,-5.180626200409344,9.006798954398697,orb,features/frame_000210_orb.npz,extracted
227bcd27-f04f-4986-bd94-5794dda26bcc,240,8.0,frames/frame_000240.jpg,240,32.102625,35.20959,49.8,759.842,50.0,45.0,-9.136740753266675,15.900891981066325,orb,features/frame_000240_orb.npz,extracted
227bcd27-f04f-4986-bd94-5794dda26bcc,270,9.0,frames/frame_000270.jpg,270,32.102697,35.209542,49.8,759.842,50.0,45.0,-13.658014527865157,23.906935495472872,orb,features/frame_000270_orb.npz,extracted
227bcd27-f04f-4986-bd94-5794dda26bcc,300,10.0,frames/frame_000300.jpg,300,32.102776,35.209492,49.8,759.842,50.0,45.0,-18.367674709933784,32.691344352007754,orb,features/frame_000300_orb.npz,extracted
227bcd27-f04f-4986-bd94-5794dda26bcc,330,11.0,frames/frame_000330.jpg,330,32.102861,35.20944,49.8,759.842,50.0,45.0,-23.265721298803268,42.142923501344,orb,features/frame_000330_orb.npz,extracted
227bcd27-f04f-4986-bd94-5794dda26bcc,360,12.0,frames/frame_000360.jpg,360,32.102949,35.209399,49.8,759.842,50.0,45.0,-27.127642648260167,51.92808779787102,orb,features/frame_000360_orb.npz,extracted
227bcd27-f04f-4986-bd94-5794dda26bcc,390,13.0,frames/frame_000390.jpg,390,32.103041,35.209361,49.9,759.942,50.0,45.0,-30.706984386177208,62.15803228854551,orb,features/frame_000390_orb.npz,extracted
