reference_id,frame_index,timestamp_seconds,image_path,telemetry_block_index,drone_lat,drone_lon,rel_alt_m,abs_alt_m,manual_height_above_takeoff_m,manual_camera_angle_deg,local_x_m,local_y_m,feature_type,feature_path,feature_status
4cf8d389-690a-422e-9621-e1b8f17f3615,1798,60.0,frames/frame_001798.jpg,1799,32.103347,35.20745,119.8,829.842,120.0,45.0,-214.19501203607396,80.39402029520673,orb,features/frame_001798_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,1828,61.0,frames/frame_001828.jpg,1829,32.103389,35.207338,119.8,829.842,120.0,45.0,-224.74463444080172,85.06421234560642,orb,features/frame_001828_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,1858,62.0,frames/frame_001858.jpg,1859,32.10343,35.207225,119.8,829.842,120.0,45.0,-235.38844990247546,89.62320934746924,orb,features/frame_001858_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,1888,63.0,frames/frame_001888.jpg,1889,32.10347,35.207111,119.8,829.842,120.0,45.0,-246.12645842176454,94.07101130000511,orb,features/frame_001888_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,1918,64.0,frames/frame_001918.jpg,1919,32.10351,35.206997,119.8,829.842,120.0,45.0,-256.8644669403843,98.51881325254098,orb,features/frame_001918_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,1948,65.0,frames/frame_001948.jpg,1949,32.103552,35.206878,119.8,829.842,120.0,45.0,-268.0734407450729,103.18900530294067,orb,features/frame_001948_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,1978,66.0,frames/frame_001978.jpg,1979,32.103594,35.20676,119.8,829.842,120.0,45.0,-279.18822149281544,107.85919735334036,orb,features/frame_001978_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,2008,67.0,frames/frame_002008.jpg,2009,32.103635,35.206643,119.8,829.842,120.0,45.0,-290.20880918361195,112.41819435441309,orb,features/frame_002008_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,2038,68.0,frames/frame_002038.jpg,2038,32.103678,35.206527,119.8,829.842,120.0,45.0,-301.1352038167931,117.19958145413975,orb,features/frame_002038_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,2068,69.0,frames/frame_002068.jpg,2068,32.103719,35.20641,119.8,829.842,120.0,45.0,-312.1557915075895,121.75857845521249,orb,features/frame_002068_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,2098,70.0,frames/frame_002098.jpg,2098,32.103762,35.206292,119.8,829.842,120.0,45.0,-323.27057225533207,126.53996555493914,orb,features/frame_002098_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,2128,71.0,frames/frame_002128.jpg,2128,32.103805,35.206177,119.8,829.842,120.0,45.0,-334.10277383156716,131.3213526538757,orb,features/frame_002128_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,2158,72.0,frames/frame_002158.jpg,2158,32.103851,35.206062,119.8,829.842,120.0,45.0,-344.93497540713304,136.43632489921293,orb,features/frame_002158_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,2188,73.0,frames/frame_002188.jpg,2188,32.103905,35.205958,119.8,829.842,120.0,45.0,-354.7310533542846,142.44085753521537,orb,features/frame_002188_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,2218,74.0,frames/frame_002218.jpg,2218,32.103969,35.205875,119.8,829.842,120.0,45.0,-362.54907710088435,149.5573406597468,orb,features/frame_002218_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,2248,75.0,frames/frame_002248.jpg,2248,32.104039,35.205805,119.8,829.842,120.0,45.0,-369.14259110383915,157.34099407707964,orb,features/frame_002248_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,2278,76.0,frames/frame_002278.jpg,2278,32.104112,35.205733,119.8,829.842,120.0,45.0,-375.9244912206861,165.45823264081312,orb,features/frame_002278_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,2308,77.0,frames/frame_002308.jpg,2308,32.104189,35.205657,119.8,829.842,120.0,45.0,-383.08316356665574,174.02025139948418,orb,features/frame_002308_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,2338,78.0,frames/frame_002338.jpg,2338,32.104268,35.205579,119.8,829.842,120.0,45.0,-390.4302220271867,182.80466025601908,orb,features/frame_002338_orb.npz,extracted
4cf8d389-690a-422e-9621-e1b8f17f3615,2368,79.0,frames/frame_002368.jpg,2368,32.10434,35.205496,119.9,829.942,120.0,45.0,-398.2482457737865,190.8107037712157,orb,features/frame_002368_orb.npz,extracted
